mfcc_Hindia-Kami Khawatir Kawan_0,mfcc_Hindia-Kami Khawatir Kawan_1,mfcc_Hindia-Kami Khawatir Kawan_2,mfcc_Hindia-Kami Khawatir Kawan_3,mfcc_Hindia-Kami Khawatir Kawan_4,mfcc_Hindia-Kami Khawatir Kawan_5,mfcc_Hindia-Kami Khawatir Kawan_6,mfcc_Hindia-Kami Khawatir Kawan_7,mfcc_Hindia-Kami Khawatir Kawan_8,mfcc_Hindia-Kami Khawatir Kawan_9,mfcc_Hindia-Kami Khawatir Kawan_10,mfcc_Hindia-Kami Khawatir Kawan_11,mfcc_Hindia-Kami Khawatir Kawan_12,mfcc_Hindia-Kami Khawatir Kawan_13,mfcc_Hindia-Kami Khawatir Kawan_14,mfcc_Hindia-Kami Khawatir Kawan_15,mfcc_Hindia-Kami Khawatir Kawan_16,mfcc_Hindia-Kami Khawatir Kawan_17,mfcc_Hindia-Kami Khawatir Kawan_18,mfcc_Hindia-Kami Khawatir Kawan_19,mfcc_Hindia-Kami Khawatir Kawan_20,mfcc_Hindia-Kami Khawatir Kawan_21,mfcc_Hindia-Kami Khawatir Kawan_22,mfcc_Hindia-Kami Khawatir Kawan_23,mfcc_Hindia-Kami Khawatir Kawan_24,mfcc_Hindia-Kami Khawatir Kawan_25,mfcc_Hindia-Kami Khawatir Kawan_26,mfcc_Hindia-Kami Khawatir Kawan_27,mfcc_Hindia-Kami Khawatir Kawan_28,mfcc_Hindia-Kami Khawatir Kawan_29,mfcc_Hindia-Kami Khawatir Kawan_30,mfcc_Hindia-Kami Khawatir Kawan_31,mfcc_Hindia-Kami Khawatir Kawan_32,mfcc_Hindia-Kami Khawatir Kawan_33,mfcc_Hindia-Kami Khawatir Kawan_34,mfcc_Hindia-Kami Khawatir Kawan_35,mfcc_Hindia-Kami Khawatir Kawan_36,mfcc_Hindia-Kami Khawatir Kawan_37,mfcc_Hindia-Kami Khawatir Kawan_38,mfcc_Hindia-Kami Khawatir Kawan_39,mfcc_Hindia-Kami Khawatir Kawan_40,mfcc_Hindia-Kami Khawatir Kawan_41,mfcc_Hindia-Kami Khawatir Kawan_42,mfcc_Hindia-Kami Khawatir Kawan_43,mfcc_Hindia-Kami Khawatir Kawan_44,mfcc_Hindia-Kami Khawatir Kawan_45,mfcc_Hindia-Kami Khawatir Kawan_46,mfcc_Hindia-Kami Khawatir Kawan_47,mfcc_Hindia-Kami Khawatir Kawan_48,mfcc_Hindia-Kami Khawatir Kawan_49,mfcc_Hindia-Kami Khawatir Kawan_50,mfcc_Hindia-Kami Khawatir Kawan_51,mfcc_Hindia-Kami Khawatir Kawan_52,mfcc_Hindia-Kami Khawatir Kawan_53,mfcc_Hindia-Kami Khawatir Kawan_54,mfcc_Hindia-Kami Khawatir Kawan_55,mfcc_Hindia-Kami Khawatir Kawan_56,mfcc_Hindia-Kami Khawatir Kawan_57,mfcc_Hindia-Kami Khawatir Kawan_58,mfcc_Hindia-Kami Khawatir Kawan_59,mfcc_Hindia-Kami Khawatir Kawan_60,mfcc_Hindia-Kami Khawatir Kawan_61,mfcc_Hindia-Kami Khawatir Kawan_62,mfcc_Hindia-Kami Khawatir Kawan_63,mfcc_Hindia-Kami Khawatir Kawan_64,mfcc_Hindia-Kami Khawatir Kawan_65,mfcc_Hindia-Kami Khawatir Kawan_66,mfcc_Hindia-Kami Khawatir Kawan_67
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,0.8522209,1.0,1.0,0.99999994,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,0.99999994,1.0,1.0,1.0,1.0
0.99999994,0.5703091,0.17902982,0.67026275,0.67555386,0.60912424,0.52800053,0.7565695,0.4908887,0.3360166,0.15796834,0.47454745,0.21023707,0.35878325,0.097256154,0.42375112,0.64382803,0.38183594,0.4073134,0.05994442,0.407217,0.6615298,0.5123674,0.59475535,0.47451755,0.6883348,0.41147095,0.62157065,0.6969147,0.6888375,0.61293465,0.5687774,0.7354467,0.30541524,0.089652315,0.43711793,0.11478618,0.47088405,0.08108841,0.46266395,0.40800625,0.27069426,0.505528,0.27943903,0.19879104,0.50352067,0.16270323,0.50017774,0.42690107,0.49917427,0.4598688,0.6146838,0.4255324,0.41166055,0.3410843,0.25870556,0.24870354,0.31107095,0.34318796,0.26718423,0.38239035,0.29216722,0.54085374,0.5829971,0.42541456,0.5535559,0.90704054,1.0
0.99999994,0.60450816,0.90651214,0.70005184,0.6640937,0.6094531,0.59065455,0.7447705,0.5705375,0.5471419,0.54095316,0.7924224,0.7108832,0.40468484,0.6242688,0.77707577,0.77259225,0.7526686,0.6916024,1.0,0.42081493,0.66043603,0.68258107,0.61181504,0.5108058,0.6704344,0.50806046,0.7181127,0.7040902,0.7278405,0.7251001,0.6612097,0.6964916,0.5527023,0.5171658,0.52239096,0.6665935,0.69707143,0.56923723,0.6753232,0.49480116,0.594305,0.54207027,0.7147664,0.740782,0.72165513,0.6577691,0.6580337,0.45297506,0.5948968,0.5322352,0.60608137,0.4711538,0.53622717,0.4999719,0.7318481,0.52006245,0.49661124,0.6276561,0.6837436,0.62932295,0.6799837,0.58955973,0.618642,0.54594463,0.53300416,0.95002604,1.0
0.99999994,0.5682075,0.48947078,0.63112026,0.64023745,0.6050565,0.54928714,0.70551264,0.50139976,0.40379155,0.3850534,0.57734495,0.4450186,0.34067398,0.44312134,0.5719742,0.70938015,0.5027919,0.4759791,0.47555548,0.46055374,0.6232472,0.60888195,0.6191226,0.42693985,0.63426375,0.47079659,0.6328071,0.6560087,0.70143026,0.6947732,0.5738508,0.68440354,0.31573096,0.27820295,0.40794513,0.28980744,0.5771523,0.2961944,0.561101,0.4175803,0.4548878,0.48819163,0.4967791,0.46674463,0.59633243,0.43937832,0.5931942,0.4326289,0.48324248,0.48329043,0.55921984,0.4482546,0.4727724,0.5229286,0.38107556,0.37216985,0.3628149,0.40770844,0.36589375,0.43477035,0.38209954,0.59979886,0.609721,0.4433926,0.56111324,0.8776372,1.0
0.99999994,0.64743745,0.63931394,0.6329749,0.6321671,0.6188605,0.50211215,0.6926261,0.48737887,0.49262998,0.3225517,0.6581492,0.45819074,0.30935735,0.47289547,0.6513202,0.65237474,0.55274713,0.5382417,0.45658723,0.5447111,0.6125157,0.5882351,0.5926212,0.47540495,0.613648,0.44422483,0.70031905,0.62918466,0.66755265,0.7302148,0.73069215,0.70559263,0.30912018,0.36788815,0.4001756,0.48762298,0.5603152,0.37900722,0.54630363,0.42872027,0.3640535,0.4865955,0.51338226,0.5559188,0.60841864,0.44817474,0.5930587,0.49017736,0.5152439,0.46696442,0.5219824,0.50762737,0.63987863,0.56785643,0.5863829,0.4200518,0.36181214,0.52547354,0.5676079,0.52388453,0.5390503,0.55735505,0.58079517,0.5013711,0.55363077,0.94190615,1.0
0.99999994,0.61602724,0.51301616,0.63308454,0.6112158,0.5794303,0.46794808,0.6808614,0.4380705,0.40886968,0.29851538,0.56537956,0.3569084,0.28005162,0.4327404,0.56580466,0.6299433,0.5340229,0.4953413,0.32432172,0.55675936,0.59731555,0.5571735,0.5899274,0.4477808,0.5986996,0.4158144,0.6766928,0.6191714,0.6566516,0.67043763,0.69548184,0.7011858,0.2972031,0.3944581,0.3220417,0.2782118,0.54761547,0.3664211,0.5404184,0.3816204,0.40774962,0.47229204,0.5272502,0.42123613,0.5911775,0.4444421,0.57863736,0.4686945,0.4911564,0.47296062,0.4833299,0.4868747,0.6244133,0.48878068,0.44235924,0.3556642,0.31523353,0.3948361,0.41075963,0.4138018,0.3819133,0.56498104,0.56417847,0.5049443,0.54444075,0.8942672,1.0
0.99999994,0.5402852,0.5244944,0.60241044,0.6024166,0.55038476,0.4751263,0.67327595,0.36305737,0.41989467,0.26445177,0.5539541,0.31710503,0.26788154,0.33015323,0.5299327,0.6099696,0.43800995,0.4702542,0.31819704,0.52270734,0.5875618,0.5282418,0.5698816,0.39423025,0.60249597,0.38793194,0.58794504,0.60438365,0.6407484,0.60354424,0.54988486,0.65699154,0.25991085,0.3682857,0.22403271,0.2839886,0.5073055,0.34537044,0.5479745,0.33673677,0.3619921,0.45649397,0.4650211,0.37846375,0.5811306,0.4450067,0.51572335,0.41251844,0.42965186,0.4634247,0.48759857,0.4043014,0.5112071,0.4217542,0.43591157,0.39170986,0.26902363,0.44002038,0.46463904,0.48176086,0.4148083,0.5702092,0.54919,0.4658048,0.552388,0.92109144,1.0
0.99999994,0.55741537,0.61138594,0.6180773,0.59708226,0.55635446,0.4917383,0.6679275,0.39228654,0.43517777,0.26790452,0.59633267,0.3985154,0.2707632,0.3396816,0.5566392,0.64419055,0.50913537,0.52413416,0.53013104,0.49808824,0.5794704,0.59253913,0.56713164,0.42515767,0.59899235,0.40727744,0.66231865,0.59504044,0.60887766,0.63914347,0.5900266,0.6733855,0.3189977,0.37821722,0.23713803,0.31428292,0.5319088,0.36074868,0.56982124,0.3634896,0.3495987,0.4683685,0.5443703,0.41027278,0.6335333,0.43353838,0.50869787,0.4467415,0.5053144,0.4487734,0.5079959,0.37406892,0.53594536,0.44159234,0.44183305,0.36886397,0.3087457,0.40588793,0.42744398,0.4542183,0.40454563,0.54956824,0.54436296,0.5005068,0.54592294,0.9045744,1.0
0.99999994,0.54268414,0.5317543,0.6152571,0.5934298,0.548224,0.46525365,0.6676135,0.45393082,0.45755336,0.23907141,0.54917574,0.3669751,0.336753,0.31555834,0.52232504,0.6835646,0.48812082,0.5190433,0.34411532,0.47323552,0.57585853,0.56913155,0.56660336,0.42781156,0.5839253,0.4098464,0.6585196,0.58837944,0.6016933,0.6330298,0.5583946,0.68960273,0.2836152,0.30212674,0.31195033,0.30176285,0.55591625,0.24472964,0.5506547,0.37491718,0.3422544,0.4881967,0.46884045,0.38361573,0.61675817,0.3696837,0.49398038,0.4488952,0.46880797,0.45053738,0.5104108,0.3801642,0.49868435,0.4237324,0.38729137,0.39526504,0.33965337,0.40078425,0.40472725,0.4566182,0.37187362,0.5578899,0.55292135,0.49815336,0.5368344,0.9130666,1.0
