mfcc_Hindia-Mata Air_0,mfcc_Hindia-Mata Air_1,mfcc_Hindia-Mata Air_2,mfcc_Hindia-Mata Air_3,mfcc_Hindia-Mata Air_4,mfcc_Hindia-Mata Air_5,mfcc_Hindia-Mata Air_6,mfcc_Hindia-Mata Air_7,mfcc_Hindia-Mata Air_8,mfcc_Hindia-Mata Air_9,mfcc_Hindia-Mata Air_10,mfcc_Hindia-Mata Air_11,mfcc_Hindia-Mata Air_12,mfcc_Hindia-Mata Air_13,mfcc_Hindia-Mata Air_14,mfcc_Hindia-Mata Air_15,mfcc_Hindia-Mata Air_16,mfcc_Hindia-Mata Air_17,mfcc_Hindia-Mata Air_18,mfcc_Hindia-Mata Air_19,mfcc_Hindia-Mata Air_20,mfcc_Hindia-Mata Air_21,mfcc_Hindia-Mata Air_22,mfcc_Hindia-Mata Air_23,mfcc_Hindia-Mata Air_24,mfcc_Hindia-Mata Air_25,mfcc_Hindia-Mata Air_26,mfcc_Hindia-Mata Air_27,mfcc_Hindia-Mata Air_28,mfcc_Hindia-Mata Air_29,mfcc_Hindia-Mata Air_30,mfcc_Hindia-Mata Air_31,mfcc_Hindia-Mata Air_32,mfcc_Hindia-Mata Air_33,mfcc_Hindia-Mata Air_34,mfcc_Hindia-Mata Air_35,mfcc_Hindia-Mata Air_36,mfcc_Hindia-Mata Air_37,mfcc_Hindia-Mata Air_38,mfcc_Hindia-Mata Air_39,mfcc_Hindia-Mata Air_40,mfcc_Hindia-Mata Air_41,mfcc_Hindia-Mata Air_42,mfcc_Hindia-Mata Air_43,mfcc_Hindia-Mata Air_44,mfcc_Hindia-Mata Air_45,mfcc_Hindia-Mata Air_46,mfcc_Hindia-Mata Air_47,mfcc_Hindia-Mata Air_48,mfcc_Hindia-Mata Air_49,mfcc_Hindia-Mata Air_50,mfcc_Hindia-Mata Air_51,mfcc_Hindia-Mata Air_52,mfcc_Hindia-Mata Air_53,mfcc_Hindia-Mata Air_54,mfcc_Hindia-Mata Air_55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07492392,0.0,0.0,0.0,0.0,0.15409876,0.0,0.0,0.0,0.0,0.02091968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019498333,0.0,0.0
1.0,1.0,1.0,1.0000001,1.0,1.0,0.9999999,1.0,1.0,1.0,0.78590095,0.9999999,1.0,0.99999994,1.0000001,1.0,1.0,1.0,1.0,0.9999999,0.9999999,1.0000001,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.5793387,0.47667247,0.44068968,0.5250356,0.48274285,0.34010062,0.54473877,0.44090077,0.5576735,0.31809714,0.4576324,0.24089955,0.21571478,0.40998158,0.3978736,0.32108876,0.47346812,0.23304024,0.60906976,0.62408596,0.57739204,0.5129117,0.04605803,0.41098982,0.46976852,0.06927402,0.17266586,0.22446182,0.24513164,0.4419635,0.30594838,0.23163514,0.14941715,0.41400686,0.46068448,0.1954039,0.13870451,0.0,0.23663585,0.3433145,0.20716965,0.1690698,0.0,0.25234708,0.5715428,0.2157974,0.5284881,0.051841877,0.421038,0.50491107,0.53895366,0.52149534,0.0,0.6014046,0.665807
1.0,0.6451288,0.62841725,0.6341611,0.6194642,0.58308095,0.5128202,0.6267468,0.74684787,0.62403804,1.0,0.48397434,0.4121942,0.7175652,0.50921017,0.5788036,0.434905,0.57484746,0.6205226,0.63605297,0.6619954,0.60382885,0.69017446,0.57511795,0.57513845,0.7283609,0.41745877,0.37138546,0.5421756,0.4724402,0.54272145,0.41986343,0.40150034,0.43864897,0.5631863,0.57355225,0.40397626,0.3505109,0.3347459,0.49798107,0.46601325,0.40822497,0.3273266,0.3319441,0.3359259,0.6014049,0.42378616,0.66409177,0.5122305,0.44115993,0.4876766,0.7008904,0.61628866,0.5212589,0.6576095,0.75805724
1.0,0.57156026,0.5871228,0.5158694,0.5882758,0.5452637,0.45994386,0.52707493,0.4041089,0.55250156,0.4118407,0.370882,0.20380595,0.28653115,0.4585527,0.491163,0.32544667,0.3806242,0.1689328,0.57947725,0.63045335,0.54652417,0.51025134,0.1477131,0.41911262,0.37928545,0.2622705,0.22819069,0.15618649,0.3624754,0.4816117,0.34327045,0.2748496,0.086445116,0.3941361,0.47301337,0.3002121,0.1970022,0.17101447,0.38706046,0.406239,0.27961951,0.18074238,0.12070671,0.3556462,0.59348357,0.32842374,0.52563643,0.06970278,0.30733728,0.47990227,0.5276797,0.43420696,0.12695865,0.6856624,0.7815164
1.0,0.56781805,0.572762,0.52610475,0.5772173,0.61116284,0.6621081,0.56669587,0.47797492,0.569107,0.58450186,0.4735662,0.34650397,0.49917543,0.5784687,0.6287687,0.45897695,0.45826778,0.34657884,0.60082066,0.6495699,0.5549141,0.57209104,0.38242877,0.55857146,0.4655838,0.5070909,0.31858522,0.30284417,0.37673393,0.49046266,0.38827652,0.33916008,0.22411317,0.48682648,0.5161876,0.5596801,0.36799234,0.25163436,0.3448298,0.4880133,0.44585085,0.39945328,0.35967478,0.36516148,0.63800824,0.55874723,0.5879974,0.33590764,0.5345106,0.55041337,0.6433203,0.5098287,0.4313661,0.67954886,0.76719993
1.0,0.5928431,0.5832352,0.56803274,0.6047593,0.6116984,0.59314454,0.5339166,0.41774288,0.5283047,0.56187123,0.4520993,0.24840775,0.36409125,0.45349059,0.5763219,0.30958807,0.40225908,0.065969184,0.60158545,0.6255102,0.5403289,0.4790473,0.18431726,0.52831674,0.5889135,0.41803816,0.31800035,0.063822605,0.3647609,0.4671327,0.480299,0.27862054,0.05471676,0.33510643,0.47412142,0.3396537,0.09507145,0.065950304,0.38792926,0.5171525,0.44655594,0.38270566,0.22576082,0.3071981,0.5942592,0.44358492,0.46416053,0.090833284,0.24961579,0.54283774,0.59760475,0.45172554,0.18217058,0.677376,0.7547024
1.0,0.55939895,0.5667017,0.50780195,0.5838215,0.56583107,0.4008127,0.5575874,0.6509219,0.5044117,0.52727,0.44270617,0.33556578,0.49007156,0.4353385,0.47603497,0.3453532,0.4790319,0.42050418,0.6025083,0.60704845,0.5521753,0.55278575,0.32570285,0.47236758,0.41706443,0.43275902,0.18100151,0.2991575,0.39586452,0.42390925,0.43520626,0.35441494,0.31735992,0.44745138,0.46658874,0.36311772,0.28701913,0.13047503,0.42739683,0.46174958,0.3387393,0.3948282,0.35390928,0.25123528,0.54614085,0.4529363,0.47773877,0.2521331,0.45792818,0.543964,0.5397089,0.46672773,0.32849166,0.66421425,0.7463775
1.0,0.58701795,0.5935909,0.5493197,0.56734383,0.57096136,0.45298168,0.5088316,0.295784,0.5278977,0.55227304,0.46583605,0.23332043,0.35266337,0.44760424,0.47178847,0.34060958,0.422276,0.056217432,0.59878415,0.60927474,0.5535259,0.44726884,0.19487387,0.5048706,0.5120737,0.30963635,0.11299619,0.0029519796,0.40286517,0.47711557,0.36824328,0.32023877,0.08857399,0.43281427,0.47910607,0.30887803,0.21509652,0.15023184,0.38944244,0.43306887,0.3312926,0.28924012,0.060580716,0.2717728,0.57005465,0.34685308,0.40207213,0.12580055,0.3394581,0.5639277,0.53616446,0.41034672,0.16823351,0.6535275,0.7491306
1.0,0.57760894,0.58660734,0.53327864,0.5541805,0.49899176,0.49642923,0.5685434,0.5547626,0.52839804,0.52202076,0.4475398,0.3465864,0.38559204,0.49133945,0.47693893,0.45704272,0.52222216,0.35537866,0.60595053,0.611261,0.5801203,0.57526374,0.2157147,0.52078027,0.56082106,0.36449644,0.27764246,0.32525092,0.3465745,0.49913567,0.3209047,0.3892504,0.34168243,0.45701367,0.45767215,0.4150939,0.35415727,0.2192977,0.39717057,0.39583802,0.35639513,0.3322071,0.23072603,0.34316477,0.5921637,0.43521842,0.5437812,0.22541593,0.48410285,0.53702575,0.534783,0.5306244,0.23178399,0.64915293,0.74347955
