mfcc_Hindia-Rumah Ke Rumah_0,mfcc_Hindia-Rumah Ke Rumah_1,mfcc_Hindia-Rumah Ke Rumah_2,mfcc_Hindia-Rumah Ke Rumah_3,mfcc_Hindia-Rumah Ke Rumah_4,mfcc_Hindia-Rumah Ke Rumah_5,mfcc_Hindia-Rumah Ke Rumah_6,mfcc_Hindia-Rumah Ke Rumah_7,mfcc_Hindia-Rumah Ke Rumah_8,mfcc_Hindia-Rumah Ke Rumah_9,mfcc_Hindia-Rumah Ke Rumah_10,mfcc_Hindia-Rumah Ke Rumah_11,mfcc_Hindia-Rumah Ke Rumah_12,mfcc_Hindia-Rumah Ke Rumah_13,mfcc_Hindia-Rumah Ke Rumah_14,mfcc_Hindia-Rumah Ke Rumah_15,mfcc_Hindia-Rumah Ke Rumah_16,mfcc_Hindia-Rumah Ke Rumah_17,mfcc_Hindia-Rumah Ke Rumah_18,mfcc_Hindia-Rumah Ke Rumah_19,mfcc_Hindia-Rumah Ke Rumah_20,mfcc_Hindia-Rumah Ke Rumah_21,mfcc_Hindia-Rumah Ke Rumah_22,mfcc_Hindia-Rumah Ke Rumah_23,mfcc_Hindia-Rumah Ke Rumah_24,mfcc_Hindia-Rumah Ke Rumah_25,mfcc_Hindia-Rumah Ke Rumah_26,mfcc_Hindia-Rumah Ke Rumah_27,mfcc_Hindia-Rumah Ke Rumah_28,mfcc_Hindia-Rumah Ke Rumah_29,mfcc_Hindia-Rumah Ke Rumah_30,mfcc_Hindia-Rumah Ke Rumah_31,mfcc_Hindia-Rumah Ke Rumah_32,mfcc_Hindia-Rumah Ke Rumah_33,mfcc_Hindia-Rumah Ke Rumah_34,mfcc_Hindia-Rumah Ke Rumah_35,mfcc_Hindia-Rumah Ke Rumah_36,mfcc_Hindia-Rumah Ke Rumah_37,mfcc_Hindia-Rumah Ke Rumah_38,mfcc_Hindia-Rumah Ke Rumah_39,mfcc_Hindia-Rumah Ke Rumah_40,mfcc_Hindia-Rumah Ke Rumah_41,mfcc_Hindia-Rumah Ke Rumah_42,mfcc_Hindia-Rumah Ke Rumah_43,mfcc_Hindia-Rumah Ke Rumah_44,mfcc_Hindia-Rumah Ke Rumah_45,mfcc_Hindia-Rumah Ke Rumah_46,mfcc_Hindia-Rumah Ke Rumah_47,mfcc_Hindia-Rumah Ke Rumah_48,mfcc_Hindia-Rumah Ke Rumah_49,mfcc_Hindia-Rumah Ke Rumah_50,mfcc_Hindia-Rumah Ke Rumah_51,mfcc_Hindia-Rumah Ke Rumah_52,mfcc_Hindia-Rumah Ke Rumah_53,mfcc_Hindia-Rumah Ke Rumah_54,mfcc_Hindia-Rumah Ke Rumah_55,mfcc_Hindia-Rumah Ke Rumah_56,mfcc_Hindia-Rumah Ke Rumah_57,mfcc_Hindia-Rumah Ke Rumah_58,mfcc_Hindia-Rumah Ke Rumah_59,mfcc_Hindia-Rumah Ke Rumah_60,mfcc_Hindia-Rumah Ke Rumah_61,mfcc_Hindia-Rumah Ke Rumah_62,mfcc_Hindia-Rumah Ke Rumah_63,mfcc_Hindia-Rumah Ke Rumah_64,mfcc_Hindia-Rumah Ke Rumah_65,mfcc_Hindia-Rumah Ke Rumah_66,mfcc_Hindia-Rumah Ke Rumah_67,mfcc_Hindia-Rumah Ke Rumah_68
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000001,0.9999999,1.0,0.99999994,1.0,1.0000001,1.0000001,0.99999994,1.0,1.0,1.0,1.0000001,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,0.99999994,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,0.99999994,0.99999994,1.0,1.0,1.0,1.0
1.0,0.5310633,0.6507817,0.5922319,0.5279477,0.5716916,0.6401178,0.46787882,0.45847487,0.33842087,0.59300125,0.5965517,0.53461784,0.47266245,0.60473275,0.3326526,0.4605887,0.53521246,0.6266141,0.7172984,0.56347024,0.5716317,0.50229496,0.62987405,0.33400494,0.68451065,0.11611749,0.4600231,0.43100825,0.5307986,0.5101331,0.3355949,0.32821226,0.48198977,0.48727292,0.32699203,0.62392867,0.35056683,0.46468088,0.23024344,0.37548018,0.27527505,0.5660101,0.42567682,0.41345465,0.58694655,0.79602635,0.8242979,0.7759534,0.83073545,0.57986856,0.5658036,0.29048657,0.36891547,0.08499211,0.5520574,0.34512502,0.32152638,0.24098913,0.52240807,0.30342144,0.50392175,0.6030437,0.5387974,0.38995704,0.5368647,0.3841635,0.35118574,0.44982865
1.0,0.5074312,0.66260767,0.70911074,0.62469864,0.6554335,0.65590376,0.43894094,0.6769974,0.60316896,0.6393744,0.58949584,0.76207477,0.5301907,0.6425403,0.4068114,0.5410178,0.63773274,0.61265033,0.70850664,0.6084773,0.5625072,0.59479135,0.6469663,0.75205517,0.6545464,0.53000116,0.601909,0.50285786,0.6550297,0.5990286,0.5802224,0.631431,0.6027951,0.58034897,0.37383804,0.66557765,0.4485297,0.5706725,0.49823356,0.9246974,0.29325315,0.6167276,0.48571798,0.549408,0.54269165,0.77073,0.78897536,0.74167347,0.786769,0.59628654,0.54669887,0.43488842,0.47881302,0.55319023,0.61314815,0.60031813,0.43370783,0.35023296,0.59821576,0.48767734,0.58759886,0.56674534,0.5360907,0.42889896,0.583081,0.41023037,0.36907968,0.49583343
1.0,0.5648097,0.6639204,0.5969092,0.5789574,0.5763784,0.63858354,0.39691585,0.52527934,0.45627233,0.5739734,0.5808281,0.4929007,0.45265132,0.54196143,0.36889064,0.5427552,0.5831648,0.6081123,0.6618325,0.55224746,0.58468544,0.5253244,0.6305043,0.5082592,0.6414724,0.27270168,0.53437066,0.48116162,0.53488564,0.5284649,0.42856583,0.4653068,0.4676506,0.53770936,0.32971632,0.6047192,0.49761957,0.50674134,0.29058582,0.5829524,0.21663366,0.6353731,0.4263634,0.54530454,0.549019,0.7346774,0.74499923,0.7127965,0.7741046,0.54900825,0.53477454,0.38394248,0.45473588,0.25599825,0.5689104,0.48465514,0.39971656,0.24834399,0.51924074,0.3810821,0.49390572,0.53777504,0.5152395,0.45982486,0.53339386,0.434238,0.40324578,0.5263531
1.0,0.5853538,0.6762814,0.5944964,0.59152687,0.6506332,0.6329956,0.4894461,0.6261531,0.5119377,0.61267495,0.5913662,0.6709924,0.5180919,0.6125102,0.5082964,0.5841644,0.6323087,0.618554,0.63024443,0.5927015,0.5949476,0.59898144,0.63988096,0.621702,0.6335686,0.42923895,0.5933543,0.4317059,0.6418751,0.55075204,0.63041157,0.65596366,0.48043153,0.45837796,0.40820938,0.61112076,0.52117324,0.57888764,0.46516466,0.62220967,0.3043709,0.6774061,0.53139657,0.6342004,0.59556955,0.71870446,0.7321052,0.7057693,0.75449765,0.5467184,0.55728644,0.47266436,0.5305741,0.49576235,0.5881684,0.49598533,0.41462514,0.31231546,0.6357605,0.48738763,0.54624075,0.54492736,0.52067906,0.45508137,0.6196154,0.49303198,0.41728875,0.52734417
1.0,0.5345477,0.63478225,0.5587708,0.4947886,0.59213763,0.59045786,0.44625047,0.54022825,0.47786042,0.57242405,0.5329315,0.5206349,0.43776634,0.55070525,0.42852205,0.50984937,0.59467494,0.5924842,0.59880537,0.56077266,0.5491175,0.57497144,0.62552416,0.5744448,0.6204132,0.26069728,0.58006847,0.43706626,0.59604764,0.53979474,0.4930092,0.5291239,0.4497979,0.37604332,0.35266054,0.5524706,0.36865923,0.52682966,0.30007333,0.41359863,0.19121625,0.5713369,0.4848551,0.5154828,0.54554635,0.70691663,0.72626,0.6984345,0.75114423,0.5058597,0.5368531,0.35738748,0.42502692,0.3029683,0.52583337,0.41758138,0.28750017,0.19800095,0.47868723,0.36822638,0.49220383,0.52227616,0.49326783,0.39753208,0.49724457,0.40881422,0.3330587,0.48295385
1.0,0.5028131,0.59935635,0.5228544,0.46314716,0.54963315,0.55400467,0.3842833,0.47513267,0.4473384,0.5426192,0.49930352,0.54075766,0.3560765,0.44088382,0.33268985,0.4688381,0.5186947,0.5661915,0.58775383,0.501691,0.52078074,0.49547625,0.5989662,0.588677,0.6184559,0.2790521,0.48139742,0.45978162,0.46945208,0.48314923,0.40045735,0.4575518,0.43853182,0.35719258,0.34806296,0.52259755,0.29675114,0.4921735,0.30044883,0.35816953,0.18125492,0.4866529,0.39770344,0.4391903,0.4826287,0.6996332,0.73409384,0.694955,0.74150217,0.5175284,0.5034239,0.34221274,0.36608315,0.3458567,0.5597964,0.4268389,0.24962598,0.19450693,0.5333931,0.41982841,0.4720794,0.5018272,0.476211,0.41514906,0.50638,0.4346529,0.36508864,0.46488956
1.0,0.49402723,0.64901906,0.5887449,0.5572182,0.6185822,0.5696843,0.42806667,0.5537731,0.44092906,0.5692734,0.54213256,0.56354564,0.43916175,0.53523153,0.39330098,0.48980638,0.60661125,0.5667166,0.5932393,0.53679025,0.54199064,0.54984754,0.59648883,0.53617764,0.6065841,0.37994474,0.56330264,0.43532097,0.53241616,0.533477,0.478022,0.49514127,0.48960042,0.44890973,0.42147434,0.58490473,0.35114947,0.5167194,0.33154854,0.58718604,0.28529528,0.54162973,0.5203958,0.519789,0.49669746,0.68956906,0.73810416,0.69246435,0.7280164,0.50346506,0.49017215,0.44302982,0.4632012,0.30851537,0.5763119,0.38919127,0.38232276,0.23456176,0.5274282,0.39039534,0.4678507,0.4701991,0.4562718,0.3984553,0.5208435,0.4300531,0.39107725,0.48790216
1.0,0.524158,0.648323,0.5404095,0.48681712,0.5727319,0.57639486,0.42695144,0.5667306,0.44327524,0.52969575,0.5724752,0.5126749,0.42371976,0.5352627,0.33139613,0.49979037,0.57831913,0.5582657,0.59499973,0.53306127,0.5458458,0.52007204,0.605772,0.53379744,0.5970835,0.32240736,0.5172255,0.42345297,0.5210063,0.5428207,0.41842547,0.40152413,0.468919,0.45751154,0.3116227,0.5957039,0.33248034,0.49959546,0.33924273,0.47213945,0.22003512,0.5431762,0.4707997,0.49633807,0.51864386,0.68383974,0.7422646,0.69659036,0.7178397,0.5086619,0.5015756,0.3762227,0.4306751,0.3412478,0.5409626,0.39036962,0.35756564,0.24544303,0.5105519,0.4044097,0.51834536,0.481603,0.4432248,0.39712617,0.5363674,0.379265,0.35021827,0.5018111
1.0,0.5770754,0.628264,0.54822475,0.46478462,0.58321255,0.5932764,0.42554474,0.56429017,0.47465575,0.5628443,0.57028157,0.55800736,0.4367726,0.4971869,0.3630747,0.51660335,0.5517868,0.55274713,0.59011805,0.53481793,0.562024,0.52630794,0.5957869,0.58327234,0.60105664,0.322365,0.4584529,0.44566405,0.54467094,0.5385066,0.49437508,0.44208658,0.4491236,0.43516567,0.3131574,0.553949,0.37335193,0.5366051,0.37423182,0.42939514,0.22717218,0.5694105,0.42336574,0.5173198,0.5278754,0.6871848,0.7390227,0.6994835,0.7098974,0.5358787,0.52893806,0.360516,0.41159484,0.3819623,0.5778788,0.4410619,0.32887924,0.23164389,0.56645674,0.40857065,0.51518166,0.51203287,0.4528129,0.44396183,0.5471394,0.44370455,0.37323424,0.4887588
