mfcc_The Lantis-Lampu Merah_0,mfcc_The Lantis-Lampu Merah_1,mfcc_The Lantis-Lampu Merah_2,mfcc_The Lantis-Lampu Merah_3,mfcc_The Lantis-Lampu Merah_4,mfcc_The Lantis-Lampu Merah_5,mfcc_The Lantis-Lampu Merah_6,mfcc_The Lantis-Lampu Merah_7,mfcc_The Lantis-Lampu Merah_8,mfcc_The Lantis-Lampu Merah_9,mfcc_The Lantis-Lampu Merah_10,mfcc_The Lantis-Lampu Merah_11,mfcc_The Lantis-Lampu Merah_12,mfcc_The Lantis-Lampu Merah_13,mfcc_The Lantis-Lampu Merah_14,mfcc_The Lantis-Lampu Merah_15,mfcc_The Lantis-Lampu Merah_16,mfcc_The Lantis-Lampu Merah_17,mfcc_The Lantis-Lampu Merah_18,mfcc_The Lantis-Lampu Merah_19,mfcc_The Lantis-Lampu Merah_20,mfcc_The Lantis-Lampu Merah_21,mfcc_The Lantis-Lampu Merah_22,mfcc_The Lantis-Lampu Merah_23,mfcc_The Lantis-Lampu Merah_24,mfcc_The Lantis-Lampu Merah_25,mfcc_The Lantis-Lampu Merah_26,mfcc_The Lantis-Lampu Merah_27,mfcc_The Lantis-Lampu Merah_28,mfcc_The Lantis-Lampu Merah_29,mfcc_The Lantis-Lampu Merah_30,mfcc_The Lantis-Lampu Merah_31,mfcc_The Lantis-Lampu Merah_32,mfcc_The Lantis-Lampu Merah_33,mfcc_The Lantis-Lampu Merah_34,mfcc_The Lantis-Lampu Merah_35,mfcc_The Lantis-Lampu Merah_36,mfcc_The Lantis-Lampu Merah_37,mfcc_The Lantis-Lampu Merah_38,mfcc_The Lantis-Lampu Merah_39,mfcc_The Lantis-Lampu Merah_40,mfcc_The Lantis-Lampu Merah_41,mfcc_The Lantis-Lampu Merah_42,mfcc_The Lantis-Lampu Merah_43,mfcc_The Lantis-Lampu Merah_44,mfcc_The Lantis-Lampu Merah_45,mfcc_The Lantis-Lampu Merah_46,mfcc_The Lantis-Lampu Merah_47,mfcc_The Lantis-Lampu Merah_48,mfcc_The Lantis-Lampu Merah_49,mfcc_The Lantis-Lampu Merah_50,mfcc_The Lantis-Lampu Merah_51,mfcc_The Lantis-Lampu Merah_52,mfcc_The Lantis-Lampu Merah_53,mfcc_The Lantis-Lampu Merah_54,mfcc_The Lantis-Lampu Merah_55,mfcc_The Lantis-Lampu Merah_56,mfcc_The Lantis-Lampu Merah_57,mfcc_The Lantis-Lampu Merah_58,mfcc_The Lantis-Lampu Merah_59,mfcc_The Lantis-Lampu Merah_60,mfcc_The Lantis-Lampu Merah_61,mfcc_The Lantis-Lampu Merah_62,mfcc_The Lantis-Lampu Merah_63,mfcc_The Lantis-Lampu Merah_64,mfcc_The Lantis-Lampu Merah_65,mfcc_The Lantis-Lampu Merah_66,mfcc_The Lantis-Lampu Merah_67,mfcc_The Lantis-Lampu Merah_68,mfcc_The Lantis-Lampu Merah_69,mfcc_The Lantis-Lampu Merah_70,mfcc_The Lantis-Lampu Merah_71,mfcc_The Lantis-Lampu Merah_72,mfcc_The Lantis-Lampu Merah_73
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99999994,1.0,1.0,1.0,1.0000001,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,0.99999994,0.99999994,1.0000001,1.0,1.0,1.0,0.9999999,0.99999994,0.9999999,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0000001,0.9999999,1.0,1.0,1.0000001,0.9999999,1.0,1.0,1.0,1.0000001,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,0.99999994,1.0,1.0,1.0,1.0000001,1.0,1.0,0.99999994,1.0,0.9999999,1.0,1.0,0.99999994,1.0
0.99999994,0.48454124,0.50110906,0.33139536,0.49706456,0.5023623,0.5075788,0.1324656,0.55453205,0.43317172,0.56238675,0.37144917,0.215463,0.6201236,0.45666206,0.62463295,0.2887249,0.53516966,0.42777655,0.69079494,0.2553133,0.27759933,0.40957424,0.23828503,0.28970945,0.2375709,0.28218406,0.34441203,0.48845106,0.54994977,0.38435957,0.58377945,0.3393926,0.4633762,0.6457,0.5639602,0.6701021,0.6098909,0.6032273,0.4651347,0.27263546,0.23685989,0.55553126,0.54374313,0.64367515,0.22478148,0.28261426,0.30720454,0.1432365,0.45158207,0.39146546,0.28562257,0.28257295,0.17270333,0.34527457,0.4396226,0.24567312,0.3843267,0.3235638,0.22215472,0.3534684,0.21158825,0.48972106,0.4814519,0.50819474,0.17046258,0.39425117,0.42900902,0.49383402,0.35290542,0.40400097,0.42823255,0.526398,0.6200276
0.99999994,0.47260815,0.46243578,0.5099815,0.5806324,0.52318496,0.63351566,0.5200299,0.5678448,0.491137,0.59459543,0.5864451,0.5118729,0.6365647,0.50202954,0.6438455,0.6805723,0.5886137,0.6500048,0.66134316,0.44618717,0.5271885,0.49233484,0.5463415,0.44917643,0.55658245,0.4749928,0.5243949,0.5284441,0.5834947,0.4993019,0.59340775,0.5163444,0.6414956,0.7344042,0.6827874,0.65345144,0.6366485,0.6414388,0.54243153,0.36088616,0.6258061,0.76361585,0.59919333,0.62335396,0.3785019,0.5418012,0.5193736,0.5130989,0.52168447,0.41157123,0.33433485,0.48409864,0.5845858,0.615235,0.56693256,0.39486313,0.6151097,0.4393574,0.49482608,0.63856506,0.5460808,0.5512402,0.5010442,0.5403964,0.54473627,0.5825729,0.50427634,0.55291504,0.55819273,0.56887716,0.4818799,0.5732138,0.6837826
0.99999994,0.53094476,0.48695034,0.41279584,0.45975608,0.48630032,0.5483194,0.2158297,0.47511858,0.49460804,0.5122277,0.53218025,0.36473447,0.592426,0.45806667,0.5953965,0.4414731,0.55304265,0.48632312,0.65291417,0.27018815,0.39909104,0.42872903,0.26162598,0.37168673,0.32323402,0.39183176,0.3825913,0.48166898,0.5434076,0.39974558,0.5415119,0.47056136,0.5219491,0.5754204,0.60581994,0.59192264,0.58358735,0.5620778,0.46542916,0.44468635,0.44931325,0.6565787,0.52698296,0.60344774,0.2387968,0.37840673,0.38596675,0.2869812,0.49081886,0.31909618,0.28959182,0.3203945,0.313321,0.36711535,0.40557158,0.28911394,0.44104177,0.32497212,0.39441985,0.40519226,0.25008175,0.45177782,0.44523472,0.5047949,0.33884305,0.4640896,0.45069954,0.50373954,0.3912611,0.45258522,0.481533,0.5201183,0.620882
0.99999994,0.5351871,0.5159008,0.47103631,0.40095896,0.4608617,0.5255916,0.3935115,0.49463302,0.5626197,0.51451755,0.48687816,0.42301202,0.56219345,0.4948948,0.60142004,0.40865916,0.5584301,0.5283774,0.6691844,0.28630543,0.4117737,0.47932708,0.31281936,0.40207648,0.47794405,0.3055659,0.3543133,0.4529168,0.546424,0.3831576,0.5474449,0.5067004,0.60515225,0.68684596,0.62625587,0.5711476,0.58795387,0.5536453,0.53322834,0.45302397,0.4374468,0.6134455,0.5736448,0.6421239,0.28650007,0.44316328,0.42110685,0.21536914,0.50367194,0.3182126,0.22892842,0.2525123,0.40578485,0.52163476,0.5234754,0.2830764,0.5356386,0.38014415,0.42296186,0.48211625,0.35116395,0.45138085,0.47656542,0.5260298,0.4155689,0.4738254,0.50905305,0.5164147,0.47779447,0.47105435,0.51431674,0.52390105,0.6336108
0.99999994,0.48888913,0.4806441,0.41990027,0.4405762,0.48202878,0.55681974,0.36685044,0.4583041,0.49353448,0.47257453,0.5023021,0.4056714,0.5511368,0.51112735,0.5880902,0.41168395,0.55078727,0.5577214,0.67491907,0.31602287,0.32807225,0.45824265,0.27468872,0.3976705,0.30962154,0.301701,0.4004464,0.47485557,0.5031303,0.39630458,0.53031975,0.54714143,0.6051837,0.5917897,0.61156195,0.574776,0.5532358,0.55676466,0.55539596,0.4210006,0.35858706,0.59475577,0.56219727,0.6548652,0.35871,0.3814032,0.4071701,0.31968337,0.46561044,0.32163715,0.19409648,0.30053574,0.36662143,0.40526122,0.49548206,0.341952,0.49956796,0.35503662,0.44180667,0.44095975,0.24814978,0.43607527,0.4636463,0.5230267,0.4138749,0.45494264,0.46391025,0.5240605,0.45865518,0.44166172,0.45651656,0.54015535,0.64847606
0.99999994,0.4883935,0.47106147,0.40054557,0.5393829,0.52106565,0.5587595,0.41266447,0.4714622,0.49970412,0.44611824,0.4958643,0.43262285,0.55061316,0.46892965,0.5577594,0.41851512,0.52655023,0.54360336,0.66284525,0.4310788,0.424982,0.4565938,0.4126776,0.38002315,0.40518436,0.33887124,0.39219773,0.45691118,0.52706665,0.3746723,0.51089084,0.498417,0.53039145,0.632161,0.6056561,0.5894791,0.53897315,0.5415373,0.47833937,0.43040696,0.36430815,0.5460703,0.5316325,0.62601596,0.35483447,0.45650142,0.40241367,0.3936584,0.45826027,0.31115222,0.27911234,0.3636618,0.35730457,0.45109275,0.4808976,0.32865196,0.42928758,0.3785928,0.43128648,0.50651836,0.39772254,0.40987718,0.43476433,0.5075212,0.4125778,0.41793105,0.43813723,0.51618433,0.40044823,0.37562528,0.41931775,0.51860845,0.6057638
0.99999994,0.50889814,0.4831725,0.41548195,0.46549752,0.51281065,0.5163565,0.26313224,0.47475561,0.518721,0.44772553,0.47922057,0.3456904,0.53279763,0.47167832,0.55007637,0.39083132,0.5393749,0.4942841,0.655844,0.34530258,0.38884974,0.42919108,0.35038957,0.36714393,0.38757116,0.36345404,0.43726397,0.42444187,0.5276707,0.3612785,0.49271458,0.48949572,0.47482586,0.6002472,0.5564979,0.56903875,0.5626595,0.5538434,0.48681116,0.4378076,0.3591519,0.5779374,0.51938546,0.6072965,0.32279307,0.40352097,0.3681659,0.3465049,0.45954815,0.3516337,0.35892716,0.37548655,0.32180133,0.39125115,0.4592512,0.3211145,0.4509898,0.3685675,0.38399193,0.43359372,0.32613826,0.43103415,0.429013,0.50058836,0.4152831,0.45042124,0.47814468,0.51393366,0.44797456,0.36788458,0.45218337,0.5097941,0.61754274
0.99999994,0.5099334,0.4776655,0.45973322,0.46443057,0.49240673,0.52484536,0.3335649,0.4549048,0.4822084,0.44119474,0.41383332,0.3723008,0.5293061,0.48947373,0.5333884,0.48978263,0.51450425,0.50455445,0.655067,0.32549658,0.45251697,0.48613882,0.39553294,0.37894145,0.42649227,0.37747318,0.45678377,0.45586267,0.47946823,0.35774153,0.49304414,0.44683546,0.48192164,0.616795,0.5796502,0.5355242,0.561467,0.54334867,0.45591012,0.3880904,0.4386201,0.56068754,0.5169174,0.59487677,0.28234124,0.4724771,0.41513556,0.34871453,0.43699983,0.36969054,0.31450844,0.40361273,0.33129644,0.41896334,0.45780373,0.3030588,0.43942237,0.3802563,0.39818898,0.45106012,0.36305183,0.4246184,0.3947399,0.49693677,0.36509705,0.41311848,0.46164665,0.4924228,0.42202085,0.41816947,0.41761938,0.5079432,0.649195
0.99999994,0.49121588,0.42555624,0.46794027,0.49782932,0.4698459,0.5605899,0.20571652,0.5019642,0.46573025,0.46392536,0.4112224,0.3588313,0.5458363,0.44962263,0.5246641,0.38150382,0.48266584,0.5012485,0.638916,0.26325536,0.36993214,0.4299813,0.29874802,0.3918594,0.32552445,0.35848945,0.33280715,0.45629036,0.49062127,0.40453118,0.49892843,0.39827725,0.48945698,0.6134851,0.5666225,0.5352376,0.53971297,0.5258133,0.45198277,0.38210025,0.3786182,0.55751544,0.49785462,0.5771772,0.22183213,0.36174136,0.38905227,0.32179558,0.43692106,0.34774804,0.24414785,0.29656744,0.34206897,0.44430396,0.47248346,0.19470859,0.46510166,0.34683275,0.36000934,0.40943867,0.3104435,0.4318364,0.38078436,0.52117825,0.39630127,0.42529622,0.43848822,0.47377333,0.42348608,0.44327894,0.4184121,0.5003818,0.63957095
0.99999994,0.47417188,0.4123516,0.38640326,0.45325643,0.47958687,0.5150214,0.21942747,0.51310164,0.5118901,0.47574383,0.43021944,0.3564245,0.5597523,0.45222485,0.53400934,0.36900705,0.5017976,0.52140105,0.6339946,0.20701317,0.38286293,0.4204122,0.2871407,0.35340762,0.33741954,0.32586995,0.3501412,0.39919147,0.48218885,0.4273935,0.49759176,0.39209896,0.5069783,0.6162994,0.58975357,0.5450575,0.5358677,0.51916933,0.4802934,0.42125922,0.3740897,0.57572216,0.4929245,0.5671191,0.1828503,0.39573678,0.38094804,0.320864,0.45703176,0.35137042,0.2279998,0.33703873,0.33782127,0.41973096,0.4311773,0.2519979,0.44058812,0.33668607,0.33981735,0.4470447,0.38639688,0.4411462,0.39951068,0.4992828,0.3625854,0.43601042,0.46634662,0.4656681,0.4224981,0.44093892,0.44795522,0.49361128,0.6121431
0.99999994,0.47145483,0.42464054,0.41308504,0.458264,0.50700605,0.49353302,0.2732634,0.4501731,0.5261604,0.45549268,0.45123306,0.3975596,0.54881674,0.4636082,0.5192263,0.4035041,0.53187186,0.46148047,0.64731586,0.3323145,0.4154228,0.4362331,0.3117006,0.39455935,0.35903937,0.35889152,0.36097208,0.39412543,0.50525117,0.38562623,0.5013901,0.41853645,0.55547744,0.59769815,0.56955487,0.5490442,0.5269096,0.52614206,0.4646383,0.41176882,0.3645125,0.54769933,0.48714277,0.5807598,0.26586568,0.37585992,0.35449368,0.30837885,0.41646537,0.35501862,0.23929197,0.3735258,0.3145101,0.43597355,0.46937725,0.36463177,0.44451243,0.383167,0.39413294,0.4246916,0.30416128,0.44741783,0.4198031,0.4847569,0.39110386,0.44564578,0.4636441,0.47264367,0.40744278,0.41188246,0.47042748,0.4957888,0.6212526
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029152036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.99999994,0.99999994,1.0,0.9999999,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,0.99999994,1.0,0.99999994,1.0,0.9999999,0.99999994,1.0,1.0,1.0,0.99999994,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,1.0,1.0,1.0,1.0,0.9999999,0.99999994,1.0,1.0,1.0
0.99999994,0.41079745,0.4353606,0.2439785,0.40105274,0.41977513,0.40773693,0.026095018,0.4724437,0.37410435,0.4641751,0.22260045,0.11698523,0.6187978,0.40332347,0.6200913,0.20326766,0.44265246,0.32012987,0.6396815,0.15694381,0.14640799,0.28767034,0.13084558,0.15943518,0.10696219,0.16370103,0.23397118,0.3874026,0.4685105,0.28951398,0.56276697,0.23165648,0.38109186,0.40755892,0.52293485,0.5956195,0.48138192,0.54233694,0.36869854,0.21236195,0.1665357,0.42975914,0.43024206,0.57367736,0.1267562,0.21722683,0.21781835,0.0,0.33877435,0.3463042,0.16281012,0.21817577,0.067382276,0.24555773,0.35344252,0.12163478,0.27655786,0.20554115,0.10787988,0.16307442,0.0978073,0.36828342,0.38498917,0.4053085,0.09323105,0.3028919,0.30170155,0.39341834,0.2325644,0.25318938,0.36550328,0.4052973,0.54137975
0.99999994,0.4351617,0.42195633,0.5191655,0.5790229,0.5011441,0.6440822,0.5019269,0.5463303,0.49324793,0.5807937,0.5497432,0.52577895,0.6485226,0.49963403,0.6730863,0.67403585,0.59240437,0.6350946,0.6268569,0.43398634,0.48949575,0.45216104,0.4867313,0.44292992,0.5629355,0.49094987,0.52150834,0.5034163,0.5903809,0.47872552,0.6219187,0.5045612,0.6212114,0.6020113,0.6498552,0.62098944,0.6190702,0.65401477,0.5260063,0.34719998,0.63167703,0.7521409,0.5571051,0.61155725,0.38379818,0.49146032,0.5067595,0.488006,0.5122954,0.4762557,0.3451944,0.5399471,0.58353305,0.5773301,0.59484994,0.4207634,0.59157884,0.4191682,0.48164922,0.59403896,0.53991795,0.514429,0.5018524,0.5386504,0.52169096,0.5839938,0.5061044,0.5244476,0.51651746,0.52160096,0.5120832,0.55871737,0.6916712
0.99999994,0.52069265,0.4611546,0.34326378,0.39292225,0.4491455,0.4994384,0.15157977,0.40648693,0.4649224,0.4214452,0.41964766,0.28252512,0.59989494,0.39657333,0.58026224,0.39639527,0.5055783,0.41598165,0.6283041,0.15514743,0.28051046,0.2856937,0.16152053,0.27131432,0.18910998,0.31387296,0.3033863,0.46342957,0.5109228,0.32795373,0.54997736,0.38482943,0.43531147,0.44405976,0.56084126,0.5795151,0.48935696,0.5295392,0.41870698,0.41472283,0.39118463,0.5972727,0.43063742,0.5847171,0.14128949,0.29222792,0.30101866,0.16524577,0.36747336,0.32402307,0.2563389,0.31082237,0.22233178,0.3037679,0.24948475,0.17275886,0.33858502,0.18621078,0.2958993,0.20650712,0.18150085,0.37202868,0.37881306,0.4407752,0.2879791,0.38203275,0.29817215,0.43547207,0.29195595,0.32503378,0.42463344,0.45924842,0.5324942
0.99999994,0.50627565,0.5043592,0.47109285,0.3922833,0.44821116,0.4998965,0.38436604,0.4703641,0.5321224,0.4835935,0.43601304,0.39415765,0.6076834,0.4668332,0.602573,0.39166597,0.5173958,0.49948585,0.6328722,0.28398848,0.37774298,0.43131286,0.24835236,0.3468094,0.44565123,0.2655262,0.2781165,0.4179494,0.5280888,0.34686738,0.58109874,0.4731082,0.5809159,0.6099248,0.5946184,0.54780084,0.5506153,0.5480707,0.49209005,0.4212685,0.39819112,0.5828312,0.53138274,0.6169143,0.25235456,0.4024888,0.37153932,0.14647204,0.46489817,0.36347836,0.21253143,0.26646227,0.39894664,0.4633993,0.4881813,0.2399321,0.51544154,0.3344126,0.39712065,0.41394907,0.30807808,0.4149729,0.448683,0.4808368,0.38092056,0.4322229,0.4983142,0.4688173,0.43802112,0.45099428,0.48610187,0.47851285,0.61750937
0.99999994,0.47303084,0.45018506,0.34443983,0.37801826,0.42741832,0.50020295,0.27956504,0.41264153,0.44430858,0.4025036,0.44538215,0.3256663,0.57933295,0.46160758,0.6355602,0.36599588,0.51591057,0.48531884,0.6409915,0.23817034,0.21778318,0.33819127,0.19114526,0.28706715,0.21703638,0.23502035,0.30800697,0.450765,0.45535815,0.34493935,0.54818577,0.48779842,0.5197409,0.41911688,0.5635944,0.53233725,0.4909226,0.54797006,0.5175402,0.39893275,0.32322305,0.5781433,0.4905211,0.632908,0.28028738,0.303564,0.3360136,0.19576846,0.3755717,0.3571013,0.19634111,0.26409703,0.3043163,0.33926442,0.38901037,0.27774477,0.42633113,0.2709186,0.31217372,0.286535,0.14930841,0.362548,0.44743675,0.48063534,0.33796775,0.4000359,0.3805904,0.45878747,0.3790928,0.3615676,0.44114375,0.49104133,0.5852803
0.99999994,0.47911683,0.45622694,0.3670998,0.49750218,0.46460855,0.5322648,0.35100836,0.46269703,0.46755704,0.37729594,0.43115157,0.3925242,0.5786197,0.41383624,0.58743453,0.3738402,0.48204485,0.50713176,0.61023325,0.3450244,0.35980767,0.38389343,0.3402828,0.34016854,0.37774196,0.3219965,0.35179254,0.41500655,0.49048194,0.34189078,0.53844446,0.43045193,0.48408824,0.53070027,0.56642956,0.5448987,0.48134437,0.53277904,0.4246409,0.40543008,0.34312797,0.5175796,0.49731758,0.5800624,0.26938272,0.38528064,0.36606535,0.34678748,0.40794963,0.32884756,0.26338616,0.35048148,0.32533807,0.38430372,0.4300116,0.3196259,0.37974668,0.34406316,0.36167696,0.45494592,0.33221108,0.33917642,0.4043269,0.4641346,0.35353124,0.37142217,0.4010515,0.45141044,0.35314626,0.33986217,0.38500446,0.46279904,0.5613022
